strain,sex,animal_id,bw,age,ant_length,post_length,mid_length,mid_height,condyle,incisor_condyle,incisor_gonion,molar_condyle,molar_arch,incisor_region,ramus_height,ant_area,post_area,teeth_space,ramus_space
129S1/SvImJ,f,107,17.7,57,3.885,6.885,9.18,3.795,2.075,11,10.55,5.815,2.195,1.89,4.45,15.2,15.15,1.335,2.56
129S1/SvImJ,f,113,14.8,57,3.875,6.775,9.13,3.565,2.1,10.95,10.45,5.92,2.125,1.785,4.45,14.05,14.85,1.325,2.36
129S1/SvImJ,f,146,17.5,57,3.89,6.86,9.215,3.685,2.22,11.2,10.55,5.935,2.27,1.8,4.345,14.7,14.75,1.365,2.63
129S1/SvImJ,f,165,17.9,57,3.8,6.905,9.155,3.685,2.145,11.1,10.55,5.93,2.255,1.82,4.26,14.85,14.3,1.36,2.645
129S1/SvImJ,f,18,19.5,57,4.01,6.865,9.395,3.805,2.145,11.4,10.7,6.05,2.315,1.955,4.54,15.9,15.75,1.475,2.65
129S1/SvImJ,f,188,14,57,3.805,6.55,8.935,3.5,2.02,10.85,10.15,5.845,2.085,1.86,4.32,13.95,14.25,1.305,2.335
129S1/SvImJ,f,197,14.9,57,3.835,6.655,9.045,3.53,2.01,11.05,10.3,6.08,2.06,1.825,4.405,14.3,14.55,1.435,2.59
129S1/SvImJ,f,54,15.5,57,3.945,6.94,9.18,3.73,2.105,11.25,10.6,6.085,2.255,1.875,4.355,15.3,15.1,1.47,2.7
129S1/SvImJ,f,94,17.5,57,3.965,6.97,9.4,3.755,2.09,11.4,10.75,6.225,2.2,1.92,4.61,15.6,15.95,1.5,2.69
129S1/SvImJ,f,97,16.5,57,3.91,6.765,9.215,3.66,2.02,11.2,10.5,6.065,2.14,1.845,4.44,15.45,14.55,1.505,2.7
129S1/SvImJ,m,102,21.7,57,4.025,7.005,9.42,3.76,2.015,11.2,10.85,5.95,2.285,1.93,4.44,15.5,14.9,1.445,2.635
129S1/SvImJ,m,12,19.5,57,3.955,7,9.265,3.7,1.93,11.15,10.75,6.01,2.19,1.925,4.53,15.4,14.95,1.525,2.735
129S1/SvImJ,m,128,20,57,3.96,6.93,9.23,3.68,2.03,11.1,10.75,5.93,2.25,1.835,4.38,14.95,14.25,1.405,2.82
129S1/SvImJ,m,134,19.3,57,4.01,6.6,9.125,3.68,1.78,10.9,10.45,5.77,2.24,1.925,4.315,15.1,13.65,1.41,2.45
