measnum,projsym,varname,strain,sex,value,animal_id,animal_projid,stocknum,strainid,zscore
56701,GMC18,bw,129S1/SvImJ,f,23,30250371,550,002448,3,0.21
56701,GMC18,bw,129S1/SvImJ,f,21.9,30250373,550,002448,3,-0.44
56701,GMC18,bw,129S1/SvImJ,f,20.3,30250374,550,002448,3,-1.38
56701,GMC18,bw,129S1/SvImJ,f,22.6,30250377,550,002448,3,-0.03
56701,GMC18,bw,129S1/SvImJ,f,24.5,30260209,550,002448,3,1.09
56701,GMC18,bw,129S1/SvImJ,f,22.4,30260210,550,002448,3,-0.15
56701,GMC18,bw,129S1/SvImJ,f,25.7,30260211,550,002448,3,1.80
56701,GMC18,bw,129S1/SvImJ,f,24.8,30260212,550,002448,3,1.27
56701,GMC18,bw,129S1/SvImJ,f,23.3,30270554,550,002448,3,0.38
56701,GMC18,bw,129S1/SvImJ,f,21.7,30270555,550,002448,3,-0.56
56701,GMC18,bw,129S1/SvImJ,f,23.9,30270556,550,002448,3,0.74
56701,GMC18,bw,129S1/SvImJ,f,23.3,30270557,550,002448,3,0.38
56701,GMC18,bw,129S1/SvImJ,f,23,30280250,550,002448,3,0.21
56701,GMC18,bw,129S1/SvImJ,f,21.8,30280251,550,002448,3,-0.50
56701,GMC18,bw,129S1/SvImJ,f,19,30280252,550,002448,3,-2.15
56701,GMC18,bw,129S1/SvImJ,f,21.2,30280253,550,002448,3,-0.85
56701,GMC18,bw,129S1/SvImJ,m,29.9,30250370,550,002448,3,0.78
56701,GMC18,bw,129S1/SvImJ,m,30.9,30250372,550,002448,3,1.12
56701,GMC18,bw,129S1/SvImJ,m,33.7,30250375,550,002448,3,2.09
56701,GMC18,bw,129S1/SvImJ,m,31.7,30250376,550,002448,3,1.40
56701,GMC18,bw,129S1/SvImJ,m,28.4,30260206,550,002448,3,0.26
56701,GMC18,bw,129S1/SvImJ,m,29.2,30260207,550,002448,3,0.54
56701,GMC18,bw,129S1/SvImJ,m,29.7,30260208,550,002448,3,0.71
56701,GMC18,bw,129S1/SvImJ,m,27.2,30270558,550,002448,3,-0.16
56701,GMC18,bw,129S1/SvImJ,m,24.8,30270559,550,002448,3,-0.99
56701,GMC18,bw,129S1/SvImJ,m,25.1,30270560,550,002448,3,-0.88
56701,GMC18,bw,129S1/SvImJ,m,25.2,30270561,550,002448,3,-0.85
56701,GMC18,bw,129S1/SvImJ,m,24.6,30270562,550,002448,3,-1.05
56701,GMC18,bw,129S1/SvImJ,m,26.3,30280246,550,002448,3,-0.47
56701,GMC18,bw,129S1/SvImJ,m,25.1,30280247,550,002448,3,-0.88
56701,GMC18,bw,129S1/SvImJ,m,25.6,30280248,550,002448,3,-0.71
56701,GMC18,bw,129S1/SvImJ,m,25,30280249,550,002448,3,-0.92
56701,GMC18,bw,A/J,f,22.9,30250366,550,000646,4,1.34
56701,GMC18,bw,A/J,f,23.3,30250367,550,000646,4,1.65
56701,GMC18,bw,A/J,f,20.9,30250368,550,000646,4,-0.20
56701,GMC18,bw,A/J,f,20.3,30250369,550,000646,4,-0.66
56701,GMC18,bw,A/J,f,22.5,30260202,550,000646,4,1.04
56701,GMC18,bw,A/J,f,21.1,30260203,550,000646,4,-0.04
56701,GMC18,bw,A/J,f,19.4,30260204,550,000646,4,-1.35
56701,GMC18,bw,A/J,f,22.6,30260205,550,000646,4,1.11
56701,GMC18,bw,A/J,f,18.3,30270575,550,000646,4,-2.20
56701,GMC18,bw,A/J,f,20.6,30270576,550,000646,4,-0.43
56701,GMC18,bw,A/J,f,21.5,30270577,550,000646,4,0.27
56701,GMC18,bw,A/J,f,20.3,30270578,550,000646,4,-0.66
56701,GMC18,bw,A/J,f,21.1,30280285,550,000646,4,-0.04
56701,GMC18,bw,A/J,f,20.9,30280286,550,000646,4,-0.20
56701,GMC18,bw,A/J,f,21.8,30280287,550,000646,4,0.50
56701,GMC18,bw,A/J,f,21,30280288,550,000646,4,-0.12
56701,GMC18,bw,A/J,m,27.2,30250362,550,000646,4,1.25
56701,GMC18,bw,A/J,m,25.7,30250363,550,000646,4,0.21
56701,GMC18,bw,A/J,m,26.3,30250364,550,000646,4,0.62
56701,GMC18,bw,A/J,m,23.7,30250365,550,000646,4,-1.18
56701,GMC18,bw,A/J,m,25.4,30260198,550,000646,4,0.00
56701,GMC18,bw,A/J,m,26.4,30260199,550,000646,4,0.69
56701,GMC18,bw,A/J,m,23,30260200,550,000646,4,-1.67
56701,GMC18,bw,A/J,m,24.3,30260201,550,000646,4,-0.76
56701,GMC18,bw,A/J,m,25.3,30270579,550,000646,4,-0.07
56701,GMC18,bw,A/J,m,23.5,30270580,550,000646,4,-1.32
56701,GMC18,bw,A/J,m,26.3,30270581,550,000646,4,0.62
56701,GMC18,bw,A/J,m,24.6,30270582,550,000646,4,-0.56
56701,GMC18,bw,A/J,m,24.8,30280281,550,000646,4,-0.42
56701,GMC18,bw,A/J,m,24.9,30280282,550,000646,4,-0.35
56701,GMC18,bw,A/J,m,28.4,30280283,550,000646,4,2.08
56701,GMC18,bw,A/J,m,26.6,30280284,550,000646,4,0.83
56701,GMC18,bw,C57BL/6J,f,23,30250378,550,000664,7,0.33
56701,GMC18,bw,C57BL/6J,f,21.3,30250379,550,000664,7,-0.83
56701,GMC18,bw,C57BL/6J,f,20.9,30250380,550,000664,7,-1.10
56701,GMC18,bw,C57BL/6J,f,22.1,30250381,550,000664,7,-0.28
56701,GMC18,bw,C57BL/6J,f,23.5,30260217,550,000664,7,0.68
56701,GMC18,bw,C57BL/6J,f,25.2,30260218,550,000664,7,1.84
56701,GMC18,bw,C57BL/6J,f,21.8,30260219,550,000664,7,-0.49
56701,GMC18,bw,C57BL/6J,f,20.8,30260220,550,000664,7,-1.17
56701,GMC18,bw,C57BL/6J,f,21.3,30270612,550,000664,7,-0.83
56701,GMC18,bw,C57BL/6J,f,24.5,30270613,550,000664,7,1.36
56701,GMC18,bw,C57BL/6J,f,23.9,30270614,550,000664,7,0.95
56701,GMC18,bw,C57BL/6J,f,21.1,30270615,550,000664,7,-0.97
56701,GMC18,bw,C57BL/6J,f,21.9,30280242,550,000664,7,-0.42
56701,GMC18,bw,C57BL/6J,f,22.1,30280243,550,000664,7,-0.28
56701,GMC18,bw,C57BL/6J,f,21.9,30280244,550,000664,7,-0.42
56701,GMC18,bw,C57BL/6J,f,24.9,30280245,550,000664,7,1.63
56701,GMC18,bw,C57BL/6J,m,30.5,30250382,550,000664,7,-0.03
56701,GMC18,bw,C57BL/6J,m,31.2,30250383,550,000664,7,0.41
56701,GMC18,bw,C57BL/6J,m,33,30250384,550,000664,7,1.56
56701,GMC18,bw,C57BL/6J,m,28.7,30250385,550,000664,7,-1.18
56701,GMC18,bw,C57BL/6J,m,30.8,30260213,550,000664,7,0.16
56701,GMC18,bw,C57BL/6J,m,31.4,30260214,550,000664,7,0.54
56701,GMC18,bw,C57BL/6J,m,28.9,30260215,550,000664,7,-1.05
56701,GMC18,bw,C57BL/6J,m,31.3,30260216,550,000664,7,0.48
56701,GMC18,bw,C57BL/6J,m,32.2,30270608,550,000664,7,1.05
56701,GMC18,bw,C57BL/6J,m,32.4,30270609,550,000664,7,1.18
56701,GMC18,bw,C57BL/6J,m,32.5,30270610,550,000664,7,1.24
56701,GMC18,bw,C57BL/6J,m,28.7,30270611,550,000664,7,-1.18
56701,GMC18,bw,C57BL/6J,m,29.6,30280238,550,000664,7,-0.60
56701,GMC18,bw,C57BL/6J,m,30.7,30280239,550,000664,7,0.10
56701,GMC18,bw,C57BL/6J,m,28.6,30280240,550,000664,7,-1.24
56701,GMC18,bw,C57BL/6J,m,28.3,30280241,550,000664,7,-1.43
56701,GMC18,bw,CAST/EiJ,f,12.9,30250355,550,000928,2,-1.10
56701,GMC18,bw,CAST/EiJ,f,12.8,30250356,550,000928,2,-1.18
56701,GMC18,bw,CAST/EiJ,f,12.8,30250357,550,000928,2,-1.18
56701,GMC18,bw,CAST/EiJ,f,14,30250360,550,000928,2,-0.19
56701,GMC18,bw,CAST/EiJ,f,15.3,30250361,550,000928,2,0.88
56701,GMC18,bw,CAST/EiJ,f,14.5,30260175,550,000928,2,0.22
56701,GMC18,bw,CAST/EiJ,f,16.2,30260176,550,000928,2,1.62
56701,GMC18,bw,CAST/EiJ,f,14.6,30260177,550,000928,2,0.30
56701,GMC18,bw,CAST/EiJ,f,15,30260178,550,000928,2,0.63
56701,GMC18,bw,CAST/EiJ,m,15.9,30250352,550,000928,2,-1.86
56701,GMC18,bw,CAST/EiJ,m,17.5,30250353,550,000928,2,-0.48
56701,GMC18,bw,CAST/EiJ,m,18.4,30250358,550,000928,2,0.30
56701,GMC18,bw,CAST/EiJ,m,17.9,30250359,550,000928,2,-0.14
