measnum,projsym,mpdsector,seriestype,keymeasnum,varname,descrip,descrip2,units,datatype,magnitude,method,intervention,paneldesc,sextested,ageweeks,granularity,sourceparm,projyear,extname,reference,association,nstrainstested,listorder,label,supplemental,native_method,is_covar,is_measure,upload_factors,file_column,is_baseline,is_control,private
56701,GMC18,css,,56701,bw,body weight,,g,,,body size and weight,,inbred w/CC8,both,17-18wks,animal,,2018,,,,8,1,,,,,True,,,False,False,
56702,GMC18,css,,56702,body_length,body length,,cm,,,body size and weight,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,2,,,,,True,,,False,False,
56711,GMC18,css,,56711,body_size,"body size (1=small, 2=normal, 3=big)",,designation,,,body size and weight,,inbred w/CC8,both,17-18wks,animal,,2018,,,,8,11,,,,,True,,,False,False,
56712,GMC18,css,,56712,body_type,"body type (1=emaciated, 2=slender, 3=normal, 4=pudgy/thick, 5=obese)",,designation,,,colony observation,,inbred w/CC8,both,17-18wks,animal,,2018,,,,8,12,,,,,True,,,False,False,
56721,GMC18,css,,56721,FATmass_Xhead,"fat tissue mass, without head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,21,,,,,True,,,False,False,
56722,GMC18,css,,56722,LEANmass_Xhead,"lean tissue mass, without head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,22,,,,,True,,,False,False,
56723,GMC18,css,,56723,SOFTmass_Xhead,"total soft tissue mass, without head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,23,,,,,True,,,False,False,
56724,GMC18,css,,56724,BMD_Xhead,"bone mineral density (BMD), without head",,g/cm<sup>2</sup>,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,24,,,,,True,,,False,False,
56725,GMC18,css,,56725,bone_area_Xhead,"bone area, without head",,cm<sup>2</sup>,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,25,,,,,True,,,False,False,
56726,GMC18,css,,56726,bone_mass_Xhead,"bone mass, without head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,26,,,,,True,,,False,False,
56731,GMC18,css,,56731,BMD_wholebody,"bone mineral density (BMD), whole body including head",,g/cm<sup>2</sup>,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,31,,,,,True,,,False,False,
56732,GMC18,css,,56732,FATmass_wholebody,"fat tissue mass, whole body including head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,32,,,,,True,,,False,False,
56733,GMC18,css,,56733,LEANmass_wholebody,"lean tissue mass, whole body including head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,33,,,,,True,,,False,False,
56734,GMC18,css,,56734,SOFTmass_wholebody,"total soft tissue mass, whole body including head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,34,,,,,True,,,False,False,
56735,GMC18,css,,56735,bone_area_wholebody,"bone area, whole body including head",,cm<sup>2</sup>,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,35,,,,,True,,,False,False,
56736,GMC18,css,,56736,bone_mass_wholebody,"bone mass, whole body including head",,g,,,DXA,,inbred w/CC8,both,17-18wks,animal,,2018,,,,7,36,,,,,True,,,False,False,
56741,GMC18,css,,56741,lumbar_num,number of lumbar vertebrae,,n,,,X-ray,,inbred w/CC8,both,17-18wks,animal,,2018,,,,8,41,,,,,True,,,False,False,
