measnum,projsym,varname,strain,sex,value,animal_id,animal_projid,stocknum,strainid,zscore
47401,Brugnara1,sodium,129S1/SvImJ,f,16.11,5649,474,002448,3,-0.32
47401,Brugnara1,sodium,129S1/SvImJ,f,15.51,5661,474,002448,3,-0.65
47401,Brugnara1,sodium,129S1/SvImJ,f,15.05,5662,474,002448,3,-0.90
47401,Brugnara1,sodium,129S1/SvImJ,f,14.61,5663,474,002448,3,-1.15
47401,Brugnara1,sodium,129S1/SvImJ,f,15.78,5666,474,002448,3,-0.50
47401,Brugnara1,sodium,129S1/SvImJ,f,14.52,5667,474,002448,3,-1.20
47401,Brugnara1,sodium,129S1/SvImJ,f,17.87,5668,474,002448,3,0.66
47401,Brugnara1,sodium,129S1/SvImJ,f,21.13,5669,474,002448,3,2.47
47401,Brugnara1,sodium,129S1/SvImJ,f,20.29,5670,474,002448,3,2.00
47401,Brugnara1,sodium,129S1/SvImJ,f,17.38,5671,474,002448,3,0.39
47401,Brugnara1,sodium,129S1/SvImJ,f,17.04,5672,474,002448,3,0.20
47401,Brugnara1,sodium,129S1/SvImJ,f,19.26,5673,474,002448,3,1.43
47401,Brugnara1,sodium,129S1/SvImJ,f,21.57,5674,474,002448,3,2.71
47401,Brugnara1,sodium,129S1/SvImJ,f,17.4,5675,474,002448,3,0.40
47401,Brugnara1,sodium,129S1/SvImJ,f,17.62,5676,474,002448,3,0.52
47401,Brugnara1,sodium,129S1/SvImJ,f,14.42,5647,474,002448,3,-1.25
47401,Brugnara1,sodium,129S1/SvImJ,f,16.42,5645,474,002448,3,-0.14
47401,Brugnara1,sodium,129S1/SvImJ,f,15.69,5646,474,002448,3,-0.55
47401,Brugnara1,sodium,129S1/SvImJ,f,16.46,5648,474,002448,3,-0.12
47401,Brugnara1,sodium,129S1/SvImJ,f,15.67,5644,474,002448,3,-0.56
47401,Brugnara1,sodium,129S1/SvImJ,f,16.13,5643,474,002448,3,-0.30
47401,Brugnara1,sodium,129S1/SvImJ,f,14.17,5642,474,002448,3,-1.39
47401,Brugnara1,sodium,129S1/SvImJ,f,14.57,5641,474,002448,3,-1.17
47401,Brugnara1,sodium,129S1/SvImJ,f,16.82,5640,474,002448,3,0.08
47401,Brugnara1,sodium,129S1/SvImJ,f,15.96,5639,474,002448,3,-0.40
47401,Brugnara1,sodium,129S1/SvImJ,f,17.69,5638,474,002448,3,0.56
47401,Brugnara1,sodium,129S1/SvImJ,f,16.75,5637,474,002448,3,0.04
47401,Brugnara1,sodium,129S1/SvImJ,f,16.68,5636,474,002448,3,0.00
47401,Brugnara1,sodium,129S1/SvImJ,f,15.52,5635,474,002448,3,-0.64
47401,Brugnara1,sodium,129S1/SvImJ,f,15.93,5634,474,002448,3,-0.42
47401,Brugnara1,sodium,129S1/SvImJ,f,16.13,5633,474,002448,3,-0.30
47401,Brugnara1,sodium,129S1/SvImJ,f,16.51,5632,474,002448,3,-0.09
47401,Brugnara1,sodium,129S1/SvImJ,f,17.75,5631,474,002448,3,0.59
47401,Brugnara1,sodium,129S1/SvImJ,m,16.07,5656,474,002448,3,-0.22
47401,Brugnara1,sodium,129S1/SvImJ,m,17.9,5606,474,002448,3,0.60
47401,Brugnara1,sodium,129S1/SvImJ,m,18.29,5607,474,002448,3,0.78
47401,Brugnara1,sodium,129S1/SvImJ,m,17.54,5608,474,002448,3,0.44
47401,Brugnara1,sodium,129S1/SvImJ,m,18.98,5609,474,002448,3,1.09
47401,Brugnara1,sodium,129S1/SvImJ,m,18.5,5610,474,002448,3,0.87
47401,Brugnara1,sodium,129S1/SvImJ,m,16.86,5611,474,002448,3,0.13
47401,Brugnara1,sodium,129S1/SvImJ,m,16.48,5612,474,002448,3,-0.04
47401,Brugnara1,sodium,129S1/SvImJ,m,19.2,5613,474,002448,3,1.18
47401,Brugnara1,sodium,129S1/SvImJ,m,13.69,5614,474,002448,3,-1.29
47401,Brugnara1,sodium,129S1/SvImJ,m,18.42,5615,474,002448,3,0.83
47401,Brugnara1,sodium,129S1/SvImJ,m,19.27,5616,474,002448,3,1.22
47401,Brugnara1,sodium,129S1/SvImJ,m,18.33,5617,474,002448,3,0.79
47401,Brugnara1,sodium,129S1/SvImJ,m,18.33,5618,474,002448,3,0.79
47401,Brugnara1,sodium,129S1/SvImJ,m,17.21,5619,474,002448,3,0.29
47401,Brugnara1,sodium,129S1/SvImJ,m,18.89,5620,474,002448,3,1.05
47401,Brugnara1,sodium,129S1/SvImJ,m,16.54,5650,474,002448,3,-0.01
47401,Brugnara1,sodium,129S1/SvImJ,m,14.36,5651,474,002448,3,-0.99
47401,Brugnara1,sodium,129S1/SvImJ,m,16.33,5652,474,002448,3,-0.11
47401,Brugnara1,sodium,129S1/SvImJ,m,13.93,5653,474,002448,3,-1.19
47401,Brugnara1,sodium,129S1/SvImJ,m,13.14,5654,474,002448,3,-1.54
47401,Brugnara1,sodium,129S1/SvImJ,m,10.43,5655,474,002448,3,-2.76
47401,Brugnara1,sodium,129S1/SvImJ,m,15.85,5657,474,002448,3,-0.32
47401,Brugnara1,sodium,129S1/SvImJ,m,15.1,5659,474,002448,3,-0.66
47401,Brugnara1,sodium,129S1/SvImJ,m,14.67,5660,474,002448,3,-0.85
47401,Brugnara1,sodium,129S1/SvImJ,m,15.66,5664,474,002448,3,-0.41
47401,Brugnara1,sodium,129S1/SvImJ,m,15.77,5665,474,002448,3,-0.36
47401,Brugnara1,sodium,129S1/SvImJ,m,21.03,5677,474,002448,3,2.01
47401,Brugnara1,sodium,129S1/SvImJ,m,12.31,5678,474,002448,3,-1.92
