measnum,projsym,mpdsector,seriestype,keymeasnum,varname,descrip,descrip2,units,datatype,magnitude,method,intervention,paneldesc,sextested,ageweeks,granularity,sourceparm,projyear,extname,reference,association,nstrainstested,listorder,label,supplemental,native_method,is_covar,is_measure,upload_factors,file_column,is_baseline,is_control,private
11001,Everett1,css,,11001,bw,body weight,,g,,,body weight,,inbred,both,8-9wks,animal,,2003,,,,14,1,,,,,True,,,False,False,
11002,Everett1,css,,11002,age,age (local parameter),,d,,,colony observation,,inbred,both,,animal,,2003,,,,14,2,,,,,True,,,False,False,
11003,Everett1,css,,11003,ant_length,"mandible, infradentale to menton",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,3,,,,,True,,,False,False,
11004,Everett1,css,,11004,post_length,"mandible, menton to gonion",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,4,,,,,True,,,False,False,
11005,Everett1,css,,11005,mid_length,"mandible, infradentale to posterior ramus",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,5,,,,,True,,,False,False,
11006,Everett1,css,,11006,mid_height,"mandible, posterior molar to menton",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,6,,,,,True,,,False,False,
11007,Everett1,css,,11007,condyle,"mandible, condylar process",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,7,,,,,True,,,False,False,
11008,Everett1,css,,11008,incisor_condyle,"mandible, infradentale to posterior condyle",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,8,,,,,True,,,False,False,
11009,Everett1,css,,11009,incisor_gonion,"mandible, infradentale to gonion",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,9,,,,,True,,,False,False,
11010,Everett1,css,,11010,molar_condyle,"mandible, posterior molar to posterior condyle",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,10,,,,,True,,,False,False,
11011,Everett1,css,,11011,molar_arch,"mandible, anterior molar to posterior molar",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,11,,,,,True,,,False,False,
11012,Everett1,css,,11012,incisor_region,"mandible, diastema to pogonion",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,12,,,,,True,,,False,False,
11013,Everett1,css,,11013,ramus_height,"mandible, antegonion to sigmoid",,mm,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,13,,,,,True,,,False,False,
11014,Everett1,css,,11014,ant_area,"mandible, anterior area",,mm<sup>2</sup>,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,14,,,,,True,,,False,False,
11015,Everett1,css,,11015,post_area,"mandible, posterior area",,mm<sup>2</sup>,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,15,,,,,True,,,False,False,
11016,Everett1,css,,11016,teeth_space,"mandible, concavity of incisor to anterior molar",,mm<sup>2</sup>,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,16,,,,,True,,,False,False,
11017,Everett1,css,,11017,ramus_space,"mandible, concavity of posterior ramus",,mm<sup>2</sup>,,,bone dimensions,,inbred,both,8-9wks,animal,,2003,,,,14,17,,,,,True,,,False,False,
