measnum,projsym,varname,strain,sex,value,animal_id,animal_projid,stocknum,strainid,zscore
11001,Everett1,bw,129S1/SvImJ,f,16.5,97,110,002448,3,-0.05
11001,Everett1,bw,129S1/SvImJ,f,17.5,94,110,002448,3,0.53
11001,Everett1,bw,129S1/SvImJ,f,17.7,107,110,002448,3,0.65
11001,Everett1,bw,129S1/SvImJ,f,15.5,54,110,002448,3,-0.62
11001,Everett1,bw,129S1/SvImJ,f,14.9,197,110,002448,3,-0.97
11001,Everett1,bw,129S1/SvImJ,f,14,188,110,002448,3,-1.49
11001,Everett1,bw,129S1/SvImJ,f,19.5,18,110,002448,3,1.68
11001,Everett1,bw,129S1/SvImJ,f,17.9,165,110,002448,3,0.76
11001,Everett1,bw,129S1/SvImJ,f,17.5,146,110,002448,3,0.53
11001,Everett1,bw,129S1/SvImJ,f,14.8,113,110,002448,3,-1.03
11001,Everett1,bw,129S1/SvImJ,m,22.7,185,110,002448,3,0.88
11001,Everett1,bw,129S1/SvImJ,m,19.5,12,110,002448,3,-1.15
11001,Everett1,bw,129S1/SvImJ,m,20,128,110,002448,3,-0.83
11001,Everett1,bw,129S1/SvImJ,m,19.3,134,110,002448,3,-1.28
11001,Everett1,bw,129S1/SvImJ,m,23.6,168,110,002448,3,1.46
11001,Everett1,bw,129S1/SvImJ,m,20.9,170,110,002448,3,-0.26
11001,Everett1,bw,129S1/SvImJ,m,21.7,102,110,002448,3,0.25
11001,Everett1,bw,129S1/SvImJ,m,21.2,190,110,002448,3,-0.07
11001,Everett1,bw,129S1/SvImJ,m,20.6,238,110,002448,3,-0.45
11001,Everett1,bw,129S1/SvImJ,m,23.6,51,110,002448,3,1.46
11001,Everett1,bw,A/J,f,16.1,20,110,000646,4,-0.25
11001,Everett1,bw,A/J,f,15,19,110,000646,4,-0.96
11001,Everett1,bw,A/J,f,14.4,187,110,000646,4,-1.35
11001,Everett1,bw,A/J,f,18.1,11,110,000646,4,1.05
11001,Everett1,bw,A/J,f,16.9,101,110,000646,4,0.27
11001,Everett1,bw,A/J,f,15.5,87,110,000646,4,-0.64
11001,Everett1,bw,A/J,f,17.6,71,110,000646,4,0.73
11001,Everett1,bw,A/J,f,15.4,59,110,000646,4,-0.70
11001,Everett1,bw,A/J,f,19.4,220,110,000646,4,1.89
11001,Everett1,bw,A/J,f,16.4,198,110,000646,4,-0.05
11001,Everett1,bw,A/J,m,21,171,110,000646,4,0.65
11001,Everett1,bw,A/J,m,19.4,237,110,000646,4,-0.06
11001,Everett1,bw,A/J,m,19.7,26,110,000646,4,0.07
11001,Everett1,bw,A/J,m,21.8,4,110,000646,4,1.00
11001,Everett1,bw,A/J,m,20.5,41,110,000646,4,0.43
11001,Everett1,bw,A/J,m,14.7,62,110,000646,4,-2.12
11001,Everett1,bw,A/J,m,19.9,76,110,000646,4,0.16
11001,Everett1,bw,A/J,m,16.3,81,110,000646,4,-1.42
11001,Everett1,bw,A/J,m,20.8,175,110,000646,4,0.56
11001,Everett1,bw,A/J,m,21.2,225,110,000646,4,0.73
11001,Everett1,bw,BALB/cByJ,f,21.6,95,110,001026,50,0.32
11001,Everett1,bw,BALB/cByJ,f,22.6,105,110,001026,50,0.96
11001,Everett1,bw,BALB/cByJ,f,18.6,117,110,001026,50,-1.62
11001,Everett1,bw,BALB/cByJ,f,22.5,15,110,001026,50,0.90
11001,Everett1,bw,BALB/cByJ,f,19.4,233,110,001026,50,-1.10
11001,Everett1,bw,BALB/cByJ,f,21.8,235,110,001026,50,0.45
11001,Everett1,bw,BALB/cByJ,f,19.5,239,110,001026,50,-1.04
11001,Everett1,bw,BALB/cByJ,f,22.6,33,110,001026,50,0.96
11001,Everett1,bw,BALB/cByJ,f,20.1,67,110,001026,50,-0.65
11001,Everett1,bw,BALB/cByJ,f,22.4,103,110,001026,50,0.83
11001,Everett1,bw,BALB/cByJ,m,25.9,135,110,001026,50,0.36
11001,Everett1,bw,BALB/cByJ,m,25.2,125,110,001026,50,-0.17
11001,Everett1,bw,BALB/cByJ,m,24.5,182,110,001026,50,-0.70
11001,Everett1,bw,BALB/cByJ,m,24.5,208,110,001026,50,-0.70
11001,Everett1,bw,BALB/cByJ,m,27.4,209,110,001026,50,1.50
11001,Everett1,bw,BALB/cByJ,m,24.8,217,110,001026,50,-0.47
11001,Everett1,bw,BALB/cByJ,m,23,218,110,001026,50,-1.84
11001,Everett1,bw,BALB/cByJ,m,26.2,230,110,001026,50,0.59
11001,Everett1,bw,BALB/cByJ,m,27.1,89,110,001026,50,1.28
11001,Everett1,bw,BALB/cByJ,m,25.6,98,110,001026,50,0.14
11001,Everett1,bw,C3H/HeJ,f,20.1,109,110,000659,6,0.54
11001,Everett1,bw,C3H/HeJ,f,17.6,96,110,000659,6,-0.95
11001,Everett1,bw,C3H/HeJ,f,18.5,91,110,000659,6,-0.41
11001,Everett1,bw,C3H/HeJ,f,19.1,74,110,000659,6,-0.05
11001,Everett1,bw,C3H/HeJ,f,15.9,240,110,000659,6,-1.96
11001,Everett1,bw,C3H/HeJ,f,19.1,214,110,000659,6,-0.05
11001,Everett1,bw,C3H/HeJ,f,18.7,158,110,000659,6,-0.29
11001,Everett1,bw,C3H/HeJ,f,20.9,151,110,000659,6,1.02
11001,Everett1,bw,C3H/HeJ,f,21.7,149,110,000659,6,1.50
11001,Everett1,bw,C3H/HeJ,f,20.3,124,110,000659,6,0.66
11001,Everett1,bw,C3H/HeJ,m,26.3,69,110,000659,6,0.18
11001,Everett1,bw,C3H/HeJ,m,23.9,84,110,000659,6,-0.59
11001,Everett1,bw,C3H/HeJ,m,25.1,1,110,000659,6,-0.21
11001,Everett1,bw,C3H/HeJ,m,29.8,136,110,000659,6,1.29
11001,Everett1,bw,C3H/HeJ,m,32.6,141,110,000659,6,2.18
11001,Everett1,bw,C3H/HeJ,m,24.8,173,110,000659,6,-0.30
11001,Everett1,bw,C3H/HeJ,m,23,179,110,000659,6,-0.88
11001,Everett1,bw,C3H/HeJ,m,23.6,207,110,000659,6,-0.68
11001,Everett1,bw,C3H/HeJ,m,22.9,25,110,000659,6,-0.91
11001,Everett1,bw,C3H/HeJ,m,25.5,29,110,000659,6,-0.08
11001,Everett1,bw,C57BL/10J,f,13.7,138,110,000665,38,-2.02
11001,Everett1,bw,C57BL/10J,f,19.4,9,110,000665,38,1.46
11001,Everett1,bw,C57BL/10J,f,17.4,86,110,000665,38,0.24
11001,Everett1,bw,C57BL/10J,f,16.8,85,110,000665,38,-0.13
11001,Everett1,bw,C57BL/10J,f,18.1,78,110,000665,38,0.67
11001,Everett1,bw,C57BL/10J,f,15.8,3,110,000665,38,-0.74
11001,Everett1,bw,C57BL/10J,f,18.9,227,110,000665,38,1.15
11001,Everett1,bw,C57BL/10J,f,16.9,210,110,000665,38,-0.07
11001,Everett1,bw,C57BL/10J,f,16,167,110,000665,38,-0.62
11001,Everett1,bw,C57BL/10J,f,17.1,144,110,000665,38,0.05
11001,Everett1,bw,C57BL/10J,m,22.1,66,110,000665,38,0.06
11001,Everett1,bw,C57BL/10J,m,16.5,10,110,000665,38,-2.22
11001,Everett1,bw,C57BL/10J,m,24.5,118,110,000665,38,1.04
11001,Everett1,bw,C57BL/10J,m,24.5,139,110,000665,38,1.04
11001,Everett1,bw,C57BL/10J,m,21.7,155,110,000665,38,-0.10
11001,Everett1,bw,C57BL/10J,m,22.7,183,110,000665,38,0.31
11001,Everett1,bw,C57BL/10J,m,22.4,205,110,000665,38,0.18
11001,Everett1,bw,C57BL/10J,m,19.1,206,110,000665,38,-1.16
11001,Everett1,bw,C57BL/10J,m,22.5,27,110,000665,38,0.22
11001,Everett1,bw,C57BL/10J,m,23.5,36,110,000665,38,0.63
11001,Everett1,bw,C57BL/6J,f,16.3,92,110,000664,7,-1.32
11001,Everett1,bw,C57BL/6J,f,17.4,77,110,000664,7,0.16
11001,Everett1,bw,C57BL/6J,f,17.1,60,110,000664,7,-0.24
11001,Everett1,bw,C57BL/6J,f,18.3,30,110,000664,7,1.37
11001,Everett1,bw,C57BL/6J,f,17.3,234,110,000664,7,0.03
11001,Everett1,bw,C57BL/6J,f,18.3,166,110,000664,7,1.37
11001,Everett1,bw,C57BL/6J,f,16.2,147,110,000664,7,-1.45
11001,Everett1,bw,C57BL/6J,f,17.7,14,110,000664,7,0.56
