measnum,projsym,varname,strain,sex,value,animal_id,animal_projid,stocknum,strainid,zscore
19701,Paigen4,HDLC,129S1/SvImJ,f,81,2448F01T,197,002448,3,-0.25
19701,Paigen4,HDLC,129S1/SvImJ,f,89,2448F53T,197,002448,3,0.43
19701,Paigen4,HDLC,129S1/SvImJ,f,92,2448F54T,197,002448,3,0.69
19701,Paigen4,HDLC,129S1/SvImJ,f,90,2448F55T,197,002448,3,0.52
19701,Paigen4,HDLC,129S1/SvImJ,f,89,2448F52T,197,002448,3,0.43
19701,Paigen4,HDLC,129S1/SvImJ,f,100,2448F51T,197,002448,3,1.37
19701,Paigen4,HDLC,129S1/SvImJ,f,83,2448F50T,197,002448,3,-0.08
19701,Paigen4,HDLC,129S1/SvImJ,f,71,2448F33T,197,002448,3,-1.10
19701,Paigen4,HDLC,129S1/SvImJ,f,82,2448F32T,197,002448,3,-0.16
19701,Paigen4,HDLC,129S1/SvImJ,f,78,2448F31T,197,002448,3,-0.51
19701,Paigen4,HDLC,129S1/SvImJ,f,88,2448F30T,197,002448,3,0.35
19701,Paigen4,HDLC,129S1/SvImJ,f,74,2448F16T,197,002448,3,-0.85
19701,Paigen4,HDLC,129S1/SvImJ,f,97,2448F15T,197,002448,3,1.11
19701,Paigen4,HDLC,129S1/SvImJ,f,99,2448F12T,197,002448,3,1.28
19701,Paigen4,HDLC,129S1/SvImJ,f,91,2448F11T,197,002448,3,0.60
19701,Paigen4,HDLC,129S1/SvImJ,f,103,2448F10T,197,002448,3,1.63
19701,Paigen4,HDLC,129S1/SvImJ,f,77.8,2448F09T,197,002448,3,-0.52
19701,Paigen4,HDLC,129S1/SvImJ,f,61.6,2448F07T,197,002448,3,-1.90
19701,Paigen4,HDLC,129S1/SvImJ,f,85.3,2448F06T,197,002448,3,0.12
19701,Paigen4,HDLC,129S1/SvImJ,f,62.6,2448F05T,197,002448,3,-1.82
19701,Paigen4,HDLC,129S1/SvImJ,f,95,2448F04T,197,002448,3,0.94
19701,Paigen4,HDLC,129S1/SvImJ,f,70.2,2448F03T,197,002448,3,-1.17
19701,Paigen4,HDLC,129S1/SvImJ,f,71,2448F02T,197,002448,3,-1.10
19701,Paigen4,HDLC,129S1/SvImJ,m,127,2448M56T,197,002448,3,1.04
19701,Paigen4,HDLC,129S1/SvImJ,m,137,2448M57T,197,002448,3,1.82
19701,Paigen4,HDLC,129S1/SvImJ,m,121,2448M55T,197,002448,3,0.58
19701,Paigen4,HDLC,129S1/SvImJ,m,116,2448M54T,197,002448,3,0.19
19701,Paigen4,HDLC,129S1/SvImJ,m,108,2448M53T,197,002448,3,-0.43
19701,Paigen4,HDLC,129S1/SvImJ,m,109,2448M52T,197,002448,3,-0.35
19701,Paigen4,HDLC,129S1/SvImJ,m,99,2448M51T,197,002448,3,-1.13
19701,Paigen4,HDLC,129S1/SvImJ,m,99,2448M50T,197,002448,3,-1.13
19701,Paigen4,HDLC,129S1/SvImJ,m,106,2448M05T,197,002448,3,-0.59
19701,Paigen4,HDLC,A/J,f,45,0646F04T,197,000646,4,-0.18
19701,Paigen4,HDLC,A/J,f,39,0646F01T,197,000646,4,-0.82
19701,Paigen4,HDLC,A/J,f,38,0646F02T,197,000646,4,-0.92
19701,Paigen4,HDLC,A/J,f,37,0646F05T,197,000646,4,-1.03
19701,Paigen4,HDLC,A/J,f,41,0646F06T,197,000646,4,-0.61
19701,Paigen4,HDLC,A/J,f,51,0646F07T,197,000646,4,0.46
19701,Paigen4,HDLC,A/J,f,43,0646F08T,197,000646,4,-0.39
19701,Paigen4,HDLC,A/J,f,62,0646F09T,197,000646,4,1.62
19701,Paigen4,HDLC,A/J,f,63,0646F10T,197,000646,4,1.73
19701,Paigen4,HDLC,A/J,f,48,0646F03T,197,000646,4,0.14
19701,Paigen4,HDLC,A/J,m,73,0646M07T,197,000646,4,1.77
