measnum,projsym,mpdsector,seriestype,keymeasnum,varname,descrip,descrip2,units,datatype,magnitude,method,intervention,paneldesc,sextested,ageweeks,granularity,sourceparm,projyear,extname,reference,association,nstrainstested,listorder,label,supplemental,native_method,is_covar,is_measure,upload_factors,file_column,is_baseline,is_control,private
6201,Peters1,css,,6201,WBC,white blood cell count (WBC; per volume x 10<sup>3</sup>),,n/&micro;L,,3,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,1,,,,,True,,,False,False,
6202,Peters1,css,,6202,RBC,red blood cell count (RBC; per volume x 10<sup>6</sup>),,n/&micro;L,,6,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,2,,,,,True,,,False,False,
6203,Peters1,css,,6203,mHGB,measured hemoglobin (HGB),,g/dL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,3,,,,,True,,,False,False,
6204,Peters1,css,,6204,HCT,hematocrit (HCT),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,4,,,,,True,,,False,False,
6205,Peters1,css,,6205,MCV,mean RBC corpuscular volume (MCV),,fL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,5,,,,,True,,,False,False,
6206,Peters1,css,,6206,MCH,mean RBC corpuscular hemoglobin (MCH),,pg,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,6,,,,,True,,,False,False,
6207,Peters1,css,,6207,MCHC,mean RBC corpuscular hemoglobin concentration (MCHC),,g/dL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,7,,,,,True,,,False,False,
6208,Peters1,css,,6208,CHCM,RBC corpuscular hemoglobin concentration mean (CHCM),,g/dL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,8,,,,,True,,,False,False,
6209,Peters1,css,,6209,RDW,RBC corpuscular distribution width (RDW),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,9,,,,,True,,,False,False,
6210,Peters1,css,,6210,HDW,hemoglobin concentration distribution width (HDW),,g/dL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,10,,,,,True,,,False,False,
6211,Peters1,css,,6211,NEUT,neutrophil differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,11,,,,,True,,,False,False,
6212,Peters1,css,,6212,LYM,lymphocyte differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,12,,,,,True,,,False,False,
6213,Peters1,css,,6213,MONO,monocyte differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,13,,,,,True,,,False,False,
6214,Peters1,css,,6214,EOS,eosinophil differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,14,,,,,True,,,False,False,
6215,Peters1,css,,6215,LUC,large unstained cell differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,15,,,,,True,,,False,False,
6216,Peters1,css,,6216,BASO,basophil differential (percent of total WBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,16,,,,,True,,,False,False,
6217,Peters1,css,,6217,Retic,reticulocyte differential (percent of total RBC),,%,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,17,,,,,True,,,False,False,
6218,Peters1,css,,6218,cHGB,calculated hemoglobin (HGB),,g/dL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,18,,,,,True,,,False,False,
6219,Peters1,css,,6219,PLT,platelet count (PLT; units per volume x 10<sup>3</sup>),,n/&micro;L,,3,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,19,,,,,True,,,False,False,
6220,Peters1,css,,6220,MPV,mean platelet volume (MPV),,fL,,,complete blood count,,inbred w/CC7,both,10wks,animal,,2001,,,,43,20,,,,,True,,,False,False,
6225,Peters1,css,,6225,Fib,fibrinogen,,mg/dL,,,coagulation test,,inbred w/CC7,both,10wks,animal,,2001,,,,43,25,,,,,True,,,False,False,
6226,Peters1,css,,6226,PT,prothrombin time (PT),,s,,,coagulation test,,inbred w/CC7,both,10wks,animal,,2001,,,,43,26,,,,,True,,,False,False,
6227,Peters1,css,,6227,PTT,partial thromboplastin time (PTT),,s,,,coagulation test,,inbred w/CC7,both,10wks,animal,,2001,,,,43,27,,,,,True,,,False,False,
